(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 0, -0.00410342307091617)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 1, -8.63722637773289e-05)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 2, -0.004562906048177773)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 3, -1.7104464298996454e-05)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 4, -0.0034014990115057153)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 5, -0.00410342307091617)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 6, -0.005814035219796473)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 7, -0.004134007199568276)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 8, -0.010751505106546416)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 9, -1.6706332039148227e-05)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 10, -0.00410342307091617)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 11, -0.0011277108386121514)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 12, -0.0021129225869163447)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 13, -0.004577259163459456)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 14, -5.200932406562715e-05)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 15, -0.00410342307091617)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 16, -0.0011591594164438697)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 17, -0.009508620164652273)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 18, -0.002536717681234003)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 19, -0.0011490922110120472)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 20, -0.00410342307091617)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 21, -0.010098531811068488)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 22, -0.001155365601039477)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 23, -0.0014742542894085225)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 24, -0.007165455360249)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 25, -0.00410342307091617)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 26, -0.015789707087666235)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 27, -0.0018040752085253546)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 28, -0.02063751167231147)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 29, -0.003110289881314964)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 30, -4.213309757823087e-05)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 31, -0.0003548152668783169)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 32, -0.0009584009647743523)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 33, -0.0004824156710252556)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 34, -1.9044412450666909e-06)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 35, -0.001980506085479246)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 36, -0.0024249508421028774)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 37, -0.0002697847501020191)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 38, -0.002602694863086454)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 39, -0.03524599844433842)
